adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/lWqjXgut48IK5f5IRbDBAoO2Epp.jpg,"[16, 12, 10751, 14, 35]",502356,en,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",11640.691,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,2023-04-05,The Super Mario Bros. Movie,False,7.5,1130
False,/wybmSmviUXxlBmX44gtpow5Y9TB.jpg,"[28, 35, 14]",594767,en,Shazam! Fury of the Gods,"Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.",6914.363,/3GrRgt6CiLIUXUtoktcv1g2iwT5.jpg,2023-03-15,Shazam! Fury of the Gods,False,6.9,1036
False,/ovM06PdF3M8wvKb06i4sjW3xoww.jpg,"[878, 12, 28]",76600,en,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",5062.292,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,2022-12-14,Avatar: The Way of Water,False,7.7,7325
False,/5i6SjyDbDWqyun8klUuCxrlFbyw.jpg,"[18, 28]",677179,en,Creed III,"After dominating the boxing world, Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damien Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damien — a fighter who has nothing to lose.",4297.128,/cvsXj3I9Q2iyyIo95AecSd1tad7.jpg,2023-03-01,Creed III,False,7.3,1096
False,/xCa7gIEAIy66S2LSaME90QJEWHm.jpg,"[28, 12, 878]",640146,en,Ant-Man and the Wasp: Quantumania,"Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",3360.645,/ngl2FKBlU4fhbdsrtdom9LVLBXw.jpg,2023-02-15,Ant-Man and the Wasp: Quantumania,False,6.4,1495
False,/bT3IpP7OopgiVuy6HCPOWLuaFAd.jpg,"[35, 9648, 28]",638974,en,Murder Mystery 2,"After starting their own detective agency, Nick and Audrey Spitz land a career-making case when their billionaire pal is kidnapped from his wedding.",2962.064,/s1VzVhXlqsevi8zeCMG9A16nEUf.jpg,2023-03-28,Murder Mystery 2,False,6.5,775
False,/eSVu1FvGPy86TDo4hQbpuHx55DJ.jpg,"[878, 12, 53, 28]",700391,en,65,"65 million years ago, the only 2 survivors of a spaceship from Somaris that crash-landed on Earth must fend off dinosaurs and reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet.",1851.891,/rzRb63TldOKdKydCvWJM8B6EkPM.jpg,2023-03-02,65,False,6.4,636
False,/aityu1Gma509jInlspHstEt8Jg0.jpg,"[12, 14, 10751]",736790,en,Chupa,"While visiting family in Mexico, a lonely boy befriends a mythical creature hiding on his grandfather's ranch and embarks on the adventure of a lifetime.",1697.313,/ra3xm8KFAkwK0CdbPRkfYADJYTB.jpg,2023-04-07,Chupa,False,6.5,152
False,/ouB7hwclG7QI3INoYJHaZL4vOaa.jpg,"[16, 10751, 14, 12, 35]",315162,en,Puss in Boots: The Last Wish,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",1905.901,/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,2022-12-07,Puss in Boots: The Last Wish,False,8.3,5243
False,/54IXMMEQKlkPXHqPExWy98UBmtE.jpg,[27],1008005,es,La niña de la comunión,"Spain, late 1980s. Newcomer Sara tries to fit in with the other teens in this tight-knit small town in the province of Tarragona. If only she were more like her extroverted best friend, Rebe. They go out one night at a nightclub, on the way home, they come upon a little girl holding a doll, dressed for her first communion. And that's when the nightmare begins.",1827.766,/sP6AO11a7jWgsmT9T8j9EGIWAaZ.jpg,2023-02-10,The Communion Girl,False,6.1,37
False,/h8gHn0OzBoaefsYseUByqsmEDMY.jpg,"[28, 53, 80]",603692,en,John Wick: Chapter 4,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",1602.16,/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,2023-03-22,John Wick: Chapter 4,False,8.0,1121
False,/tYcmm8XtzRdcT6kliCbHuWwLCwB.jpg,[28],849869,ko,길복순,"At work, she's a renowned assassin. At home, she's a single mom to a teenage daughter. Killing? That's easy. It's parenting that's the hard part.",1719.543,/taYgn3RRpCGlTGdaGQvnSIOzXFy.jpg,2023-02-17,Kill Boksoon,False,6.8,148
False,/a2tys4sD7xzVaogPntGsT1ypVoT.jpg,"[53, 35, 80]",804150,en,Cocaine Bear,"Inspired by a true story, an oddball group of cops, criminals, tourists and teens converge in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.",1556.769,/gOnmaxHo0412UVr1QM5Nekv1xPi.jpg,2023-02-22,Cocaine Bear,False,6.4,807
False,/5Y5pz0NX7SZS9036I733F7uNcwK.jpg,"[27, 53]",758323,en,The Pope's Exorcist,"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.",1490.539,/9JBEPLTPSm0d1mbEcLxULjJq9Eh.jpg,2023-04-05,The Pope's Exorcist,False,6.6,108
False,/m1fgGSLK0WvRpzM1AmZu38m0Tx8.jpg,[28],842945,en,Supercell,"Good-hearted teenager William always lived in hope of following in his late father’s footsteps and becoming a storm chaser. His father’s legacy has now been turned into a storm-chasing tourist business, managed by the greedy and reckless Zane Rogers, who is now using William as the main attraction to lead a group of unsuspecting adventurers deep into the eye of the most dangerous supercell ever seen.",1504.911,/gbGHezV6yrhua0KfAgwrknSOiIY.jpg,2023-03-17,Supercell,False,6.3,97
False,/c3hl9E8E7b9opXDFVF5tSyk0ykr.jpg,"[16, 35, 10751, 12, 14]",816904,es,Momias,"Through a series of unfortunate events, three mummies end up in present-day London and embark on a wacky and hilarious journey in search of an old ring belonging to the Royal Family, stolen by ambitious archaeologist Lord Carnaby.",1345.968,/qVdrYN8qu7xUtsdEFeGiIVIaYd.jpg,2023-01-05,Mummies,False,7.2,179
False,/eNJhWy7xFzR74SYaSJHqJZuroDm.jpg,"[28, 878]",1033219,en,Attack on Titan,"As viable water is depleted on Earth, a mission is sent to Saturn's moon Titan to retrieve sustainable H2O reserves from its alien inhabitants. But just as the humans acquire the precious resource, they are attacked by Titan rebels, who don't trust that the Earthlings will leave in peace.",1389.691,/qNz4l8UgTkD8rlqiKZ556pCJ9iO.jpg,2022-09-30,Attack on Titan,False,6.1,83
False,/rPSJAElGxOTko1zK6uIlYnTMFxN.jpg,[80],1104040,en,Gangs of Lagos,"A group of friends who each have to navigate their own destiny, growing up on the bustling streets and neighborhood of Isale Eko, Lagos.",1630.24,/nGwFsB6EXUCr21wzPgtP5juZPSv.jpg,2023-04-07,Gangs of Lagos,False,5.7,10
False,/sFGENDTUNOuDbVufxksCkrDtuaT.jpg,"[27, 53]",713704,en,Evil Dead Rise,Two sisters find an ancient vinyl that gives birth to bloodthirsty demons that run amok in a Los Angeles apartment building and thrusts them into a primal battle for survival as they face the most nightmarish version of family imaginable.,1013.319,/5ik4ATKmNtmJU6AYD0bLm56BCVM.jpg,2023-04-12,Evil Dead Rise,False,7.5,28
False,/bQXAqRx2Fgc46uCVWgoPz5L5Dtr.jpg,"[28, 12, 878, 14]",436270,en,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",985.266,/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg,2022-10-19,Black Adam,False,7.1,4734
